	decision	gains	losses
0	1	12	6
1	1	22	8
2	1	14	7
3	1	20	9
4	1	22	9
5	1	18	10
6	1	30	10
7	1	22	6
8	1	24	13
9	1	26	6
10	1	30	12
11	1	28	12
12	1	28	8
13	1	26	7
14	1	16	8
15	1	20	11
16	1	28	6
17	1	26	11
18	1	22	14
19	1	10	8
20	1	24	5
21	1	26	9
22	1	18	14
23	1	18	7
24	1	16	14
25	1	30	11
26	1	20	12
27	1	20	15
28	1	26	13
29	1	20	6
30	1	16	11
31	1	26	15
32	1	28	9
33	1	24	12
34	1	22	12
35	1	20	5
36	1	22	5
37	1	26	12
38	1	30	13
39	1	24	6
40	1	28	11
41	1	22	7
42	1	14	8
43	1	10	9
44	1	26	10
45	1	10	10
46	1	14	9
47	1	10	7
48	1	18	5
49	1	12	11
50	1	28	5
51	1	24	15
52	1	16	15
53	1	16	5
54	1	20	14
55	1	30	5
56	1	26	8
57	1	30	7
58	1	20	13
59	1	20	7
60	1	28	13
61	1	24	10
62	1	14	5
63	1	26	14
64	1	16	10
65	1	18	6
66	1	16	12
67	1	14	10
68	1	18	9
69	1	30	14
70	1	18	8
71	1	22	13
72	1	18	12
73	1	12	8
74	1	24	11
75	1	12	7
76	1	16	7
77	1	14	11
78	1	20	8
79	1	30	6
80	1	30	9
81	1	12	9
82	1	24	9
83	1	30	15
84	1	28	15
85	1	18	11
86	1	26	5
87	1	16	6
88	1	10	5
89	1	14	6
90	1	22	15
91	1	22	11
92	1	24	7
93	1	28	7
94	1	30	8
95	1	24	14
96	1	16	9
97	1	18	13
98	1	28	14
99	1	28	10
100	1	24	8
101	1	12	10
102	1	14	13
103	1	12	5
104	1	20	10
105	1	22	10
106	0	18	15
107	0	10	6
108	0	14	12
109	0	16	13
110	0	12	12
111	0	10	11
112	0	14	15
113	0	10	13
114	0	10	12
115	0	12	13
116	0	12	14
117	0	10	15
118	0	10	14
119	0	12	15
120	0	14	14
