	decision	gains	losses
0	1	10	13
1	1	16	14
2	1	20	15
3	1	10	14
4	1	18	14
5	1	26	11
6	1	12	12
7	1	28	6
8	1	26	13
9	1	14	13
10	1	12	7
11	1	18	5
12	1	10	12
13	1	24	6
14	1	26	9
15	1	22	6
16	1	10	5
17	1	30	15
18	1	20	12
19	1	26	6
20	1	30	5
21	1	18	15
22	1	24	8
23	1	20	5
24	1	26	14
25	1	20	6
26	1	12	14
27	1	18	10
28	1	16	7
29	1	20	7
30	1	22	12
31	1	20	11
32	1	30	6
33	1	16	15
34	1	22	9
35	1	16	10
36	1	22	10
37	1	24	9
38	1	30	11
39	1	26	15
40	1	18	11
41	1	28	8
42	1	24	14
43	1	14	14
44	1	20	13
45	1	12	9
46	1	10	8
47	1	30	10
48	1	14	15
49	1	30	9
50	1	28	5
51	1	14	8
52	1	14	6
53	1	28	10
54	1	16	8
55	1	14	5
56	1	10	9
57	1	10	7
58	1	10	11
59	1	24	12
60	1	20	10
61	1	14	10
62	1	26	5
63	1	16	6
64	1	28	14
65	1	18	8
66	1	14	11
67	1	14	9
68	1	22	15
69	1	18	13
70	1	24	15
71	1	16	5
72	1	24	5
73	1	14	7
74	1	30	8
75	1	10	10
76	1	24	7
77	1	12	6
78	1	20	14
79	1	16	9
80	1	16	13
81	1	30	12
82	1	10	15
83	1	12	10
84	1	12	11
85	1	16	12
86	1	28	9
87	1	22	11
88	1	22	14
89	1	30	7
90	1	12	5
91	1	18	7
92	1	24	13
93	1	28	12
94	1	24	10
95	1	18	9
96	1	24	11
97	1	20	9
98	1	28	15
99	1	26	8
100	1	26	7
101	1	28	13
102	1	12	13
103	1	18	6
104	1	30	13
105	1	22	8
106	1	22	7
107	1	22	13
108	1	12	8
109	1	28	11
110	1	22	5
111	1	28	7
112	1	10	6
113	1	18	12
114	1	20	8
115	1	26	10
116	1	26	12
117	1	14	12
118	1	30	14
119	1	12	15
120	1	16	11
