	decision	gains	losses
0	1	12	14
1	1	24	7
2	1	28	15
3	1	18	14
4	1	10	11
5	1	24	5
6	1	22	14
7	1	14	10
8	1	20	15
9	1	26	6
10	1	14	12
11	1	22	11
12	1	16	11
13	1	18	13
14	1	22	10
15	1	16	15
16	1	30	6
17	1	12	5
18	1	10	6
19	1	28	11
20	1	10	10
21	1	30	10
22	1	28	5
23	1	22	6
24	1	20	5
25	1	20	10
26	1	20	9
27	1	26	15
28	1	16	14
29	1	18	11
30	1	26	12
31	1	10	7
32	1	12	13
33	1	12	11
34	1	18	9
35	1	20	7
36	1	18	8
37	1	12	8
38	1	10	15
39	1	20	11
40	1	30	5
41	1	26	13
42	1	16	10
43	1	30	7
44	1	28	10
45	1	10	5
46	1	18	6
47	1	18	10
48	1	14	15
49	1	22	15
50	1	24	8
51	1	18	12
52	1	26	7
53	1	14	13
54	1	24	13
55	1	10	12
56	1	26	8
57	1	12	7
58	1	14	5
59	1	28	12
60	1	28	6
61	1	10	9
62	1	24	11
63	1	10	14
64	1	12	10
65	1	20	14
66	1	20	6
67	1	28	8
68	1	14	8
69	1	24	12
70	1	26	5
71	1	20	13
72	1	26	9
73	1	26	11
74	1	30	14
75	1	30	13
76	1	12	15
77	1	22	8
78	1	10	8
79	1	30	11
80	1	30	12
81	1	16	7
82	1	24	9
83	1	30	15
84	1	20	8
85	1	26	10
86	1	30	9
87	1	16	6
88	1	22	13
89	1	22	12
90	1	28	14
91	1	14	9
92	1	16	9
93	1	24	15
94	1	24	14
95	1	22	7
96	1	12	12
97	1	12	6
98	1	30	8
99	1	16	8
100	1	28	9
101	1	24	6
102	1	14	11
103	1	18	5
104	1	24	10
105	1	14	7
106	1	10	13
107	1	14	14
108	1	16	12
109	0	12	9
110	0	18	7
111	0	18	15
112	0	16	13
113	0	26	14
114	0	16	5
115	0	20	12
116	0	22	9
117	0	28	7
118	0	22	5
119	0	14	6
120	0	28	13
